gene_iss,col,row
ANTXR1,56,2
ANTXR1,65,3
ANTXR1,161,6
ANTXR1,136,8
ANTXR1,182,8
ANTXR1,183,12
ANTXR1,144,14
ANTXR1,133,16
ANTXR1,68,21
ANTXR1,152,22
ANTXR1,76,22
ANTXR1,152,25
ANTXR1,82,26
ANTXR1,148,36
ANTXR1,187,41
ANTXR1,1,62
ANTXR1,111,62
ANTXR1,174,65
ANTXR1,162,70
ANTXR1,88,78
ANTXR1,87,83
ANTXR1,30,88
ANTXR1,164,88
ANTXR1,50,91
ANTXR1,66,99
ANTXR1,139,100
ANTXR1,153,106
ANTXR1,171,108
ANTXR1,50,112
ANTXR1,158,112
ANTXR1,82,113
ANTXR1,18,118
ANTXR1,138,121
ANTXR1,13,123
ANTXR1,182,124
ANTXR1,27,133
ANTXR1,72,134
ANTXR1,159,140
ANTXR1,6,141
ANTXR1,171,144
ANTXR1,53,145
ANTXR1,122,145
ANTXR1,102,151
ANTXR1,109,165
ANTXR1,8,169
ANTXR1,130,179
ANTXR1,47,180
ANTXR1,35,183
ANTXR1,48,184
ANTXR1,32,185
ANTXR1,46,189
ANTXR1,35,190
ANTXR1,54,200
ANTXR1,65,202
ANTXR1,65,204
ANTXR1,148,208
ANTXR1,124,209
ANTXR1,115,223
ANTXR1,5,229
ANTXR1,275,5
ANTXR1,439,7
ANTXR1,326,8
ANTXR1,197,9
ANTXR1,259,10
ANTXR1,281,10
ANTXR1,385,13
ANTXR1,408,14
ANTXR1,252,14
ANTXR1,419,16
ANTXR1,388,17
ANTXR1,364,19
ANTXR1,278,20
ANTXR1,333,21
ANTXR1,423,22
ANTXR1,330,23
ANTXR1,380,23
ANTXR1,274,24
ANTXR1,232,29
ANTXR1,354,32
ANTXR1,226,34
ANTXR1,325,34
ANTXR1,221,36
ANTXR1,376,37
ANTXR1,221,38
ANTXR1,317,40
ANTXR1,201,40
ANTXR1,365,41
ANTXR1,395,44
ANTXR1,408,44
ANTXR1,273,47
ANTXR1,205,47
ANTXR1,267,49
ANTXR1,285,49
ANTXR1,274,49
ANTXR1,227,53
ANTXR1,353,56
ANTXR1,400,57
ANTXR1,206,57
ANTXR1,228,59
ANTXR1,245,63
ANTXR1,284,63
ANTXR1,221,67
ANTXR1,310,69
ANTXR1,385,69
ANTXR1,317,71
ANTXR1,308,72
ANTXR1,215,74
ANTXR1,310,74
ANTXR1,317,74
ANTXR1,230,74
ANTXR1,293,75
ANTXR1,384,77
ANTXR1,384,78
ANTXR1,191,79
ANTXR1,410,81
ANTXR1,307,82
ANTXR1,205,82
ANTXR1,302,84
ANTXR1,309,84
ANTXR1,391,84
ANTXR1,400,85
ANTXR1,363,86
ANTXR1,414,90
ANTXR1,271,92
ANTXR1,206,95
ANTXR1,252,97
ANTXR1,217,98
ANTXR1,191,102
ANTXR1,252,106
ANTXR1,385,106
ANTXR1,434,106
ANTXR1,385,107
ANTXR1,310,110
ANTXR1,201,113
ANTXR1,310,115
ANTXR1,207,116
ANTXR1,374,116
ANTXR1,265,116
ANTXR1,426,118
ANTXR1,413,119
ANTXR1,253,121
ANTXR1,340,127
ANTXR1,209,127
ANTXR1,262,128
ANTXR1,249,129
ANTXR1,259,130
ANTXR1,386,130
ANTXR1,354,132
ANTXR1,354,132
ANTXR1,342,134
ANTXR1,383,137
ANTXR1,283,140
ANTXR1,339,141
ANTXR1,339,142
ANTXR1,223,143
ANTXR1,429,145
ANTXR1,224,146
ANTXR1,395,157
ANTXR1,273,161
ANTXR1,313,164
ANTXR1,305,165
ANTXR1,380,168
ANTXR1,368,174
ANTXR1,247,175
ANTXR1,382,177
ANTXR1,221,178
ANTXR1,218,178
ANTXR1,246,181
ANTXR1,311,182
ANTXR1,438,181
ANTXR1,243,183
ANTXR1,260,183
ANTXR1,353,183
ANTXR1,224,191
ANTXR1,226,198
ANTXR1,260,199
ANTXR1,223,199
ANTXR1,360,203
ANTXR1,434,204
ANTXR1,267,206
ANTXR1,307,206
ANTXR1,332,208
ANTXR1,327,209
ANTXR1,410,210
ANTXR1,345,220
ANTXR1,231,223
ANTXR1,268,224
ANTXR1,397,226
ANTXR1,273,226
ANTXR1,203,228
ANTXR1,425,228
ANTXR1,623,3
ANTXR1,584,3
ANTXR1,649,5
ANTXR1,607,6
ANTXR1,597,7
ANTXR1,638,12
ANTXR1,688,16
ANTXR1,664,16
ANTXR1,672,19
ANTXR1,688,19
ANTXR1,460,21
ANTXR1,686,22
ANTXR1,501,26
ANTXR1,672,27
ANTXR1,449,28
ANTXR1,657,28
ANTXR1,562,28
ANTXR1,614,29
ANTXR1,544,32
ANTXR1,527,34
ANTXR1,611,35
ANTXR1,543,37
ANTXR1,442,37
ANTXR1,495,38
ANTXR1,563,41
ANTXR1,569,42
ANTXR1,563,43
ANTXR1,440,44
ANTXR1,595,47
ANTXR1,624,51
ANTXR1,669,51
ANTXR1,512,52
ANTXR1,588,54
ANTXR1,492,54
ANTXR1,657,54
ANTXR1,550,55
ANTXR1,539,56
ANTXR1,509,59
ANTXR1,607,59
ANTXR1,529,67
ANTXR1,532,69
ANTXR1,663,69
ANTXR1,454,70
ANTXR1,512,71
ANTXR1,471,71
ANTXR1,658,72
ANTXR1,510,74
ANTXR1,617,75
ANTXR1,662,75
ANTXR1,650,76
ANTXR1,527,77
ANTXR1,520,81
ANTXR1,640,81
ANTXR1,603,89
ANTXR1,525,91
ANTXR1,646,92
ANTXR1,454,93
ANTXR1,562,93
ANTXR1,480,94
ANTXR1,559,94
ANTXR1,479,95
ANTXR1,617,97
ANTXR1,556,98
ANTXR1,662,99
ANTXR1,569,102
ANTXR1,656,104
ANTXR1,565,105
ANTXR1,453,106
